Сумма.баллов,Оценка.1,Оценка.2,Оценка.3,Оценка.4,ГТО.оценка,Сочинение.оценка,Аттестат.с.отличием.оценка,Оригинал.,Общежитие,Дата.заявления,Тип.насел..пункта,Участие.в.олимпиадах,Дата.выдачи.док..об.образов,Школа,Сумма.положительных.оценок,,,
343,60,90,90,96,0,2,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,23.06.2018,СОШ 132,336,,,
356,100,86,92,78,0,0,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018,ГОРОД,Призер олимпиады из Перечня,09.06.2017,ЛИЦ БГУ,356,,,
381,90,99,96,94,0,2,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018,ГОРОД,Не является  победителем олимпиады,27.06.2018,ГИМНАЗ НОВОДВИНСК ГИМНАЗ НОВОДВИНСК,379,,,
365,75,92,100,91,0,2,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018,ГОРОД,Не является  победителем олимпиады,26.06.2018,СОШ 10 АНГАРСК,358,,,
344,75,96,94,78,0,1,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,06.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,27.06.2018,ГИМНАЗ 1 НОВОСИБИРСК,343,,,
350,100,84,76,87,0,3,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,07.07.2018,ГОРОД,Призер олимпиады из Перечня,25.06.2018,ЛИЦ САНКТ ПЕТЕРБУРГСК ПОЛИТЕХНИЧЕСК УНИВЕРСИТЕТ ПЕТР ВЕЛИКОГО,347,,,
343,100,96,61,82,2,2,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,07.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Призер олимпиады из Перечня,23.06.2018,ЛИЦ ЭЛИСТИНСК ЛИЦ ЭЛИСТ,339,,,
306,60,80,86,78,0,2,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,07.07.2018,ГОРОД,Не является  победителем олимпиады,26.06.2018,ГИМНАЗ АЛЬТЕРНАТИВА ЕЛЬЦ,304,,,
350,70,92,92,89,0,2,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,07.07.2018,ГОРОД,Не является  победителем олимпиады,27.06.2018,СОШ 1 МИЧУРИНСК,343,,,
372,100,96,92,82,0,2,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,07.07.2018 14:06:43,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Победитель олимпиады из Перечня,23.06.2018,ЛИЦ 153 УФ,370,,,
371,90,99,84,94,2,2,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,07.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,25.06.2018,ЛИЦ 30 САНКТ-ПЕТЕРБУРГ,367,,,
359,85,90,80,96,2,1,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,07.07.2018,ГОРОД,Не является  победителем олимпиады,23.06.2018,СОШ 33 СТАР,351,,,
341,70,90,92,87,0,2,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,07.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,21.06.2018,ЛИЦ 239 САНКТ,339,,,
350,70,86,86,98,2,3,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,07.07.2018 17:15:12,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 2107 МОСКВ,340,,,
374,85,96,94,91,2,1,5,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,08.07.2018 12:04:19,ГОРОД,Не является  победителем олимпиады,23.06.2018,СОШ 2107 МОСКВ,366,,,
365,85,90,86,96,0,3,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,08.07.2018,ГОРОД,Не является  победителем олимпиады,26.06.2018,СОШ 22 ПРИМОРСКО,357,,,
380,100,84,90,98,0,3,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,08.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Призер олимпиады из Перечня,26.06.2018,ЛИЦ 90 КРАСНОДАР,372,,,
360,70,94,94,94,0,3,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,08.07.2018,ГОРОД,Не является  победителем олимпиады,30.06.2018,СОШ 7 ТАВД,352,,,
346,100,82,82,80,0,2,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,08.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Призер олимпиады из Перечня,24.06.2018,ЛИЦ 2 ПЕРМ,344,,,
340,70,90,92,88,0,0,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,08.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2012,СОШ 654 МОСКВ,340,,,
222,50,62,44,61,0,0,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,НАСЕЛЕННЫЙ ПУНКТ ГОРОДСКОГО ТИПА,Не является  победителем олимпиады,26.06.2018,КОЛЛЕДЖ МУРМАНСК ЭКОНОМИК ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ,217,,,
340,65,90,84,98,0,3,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1580 МОСКВ,337,,,
364,90,88,86,93,0,2,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,29.06.2016,ГИМНАЗ 12 ТВЕР,357,,,
366,90,96,94,78,2,1,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,23.06.2018,СОШ 36 МУРМАНСК,358,,,
357,100,94,68,93,0,2,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2017,ЛИЦ ВТОРАЯ ШКОЛА МОСКВ,355,,,
342,85,88,90,78,0,1,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД,Не является  победителем олимпиады,23.06.2018,СУНЦ НГ,341,,,
345,70,80,90,96,2,2,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД,Не является  победителем олимпиады,24.06.2018,УЧИЛИЩ СЕВЕРО КАВКАЗСКО СУВОРОВСКО ВОЕННО УЧИЛИЩ МИНИСТЕРСТВ ОБОРОН РФ ВЛАДИКАВКАЗ,336,,,
344,100,99,72,73,0,0,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД,Призер олимпиады из Перечня,09.06.2018,ГИМНАЗ 5 ВИТЕБСКА,344,,,
159,NA,96,NA,61,0,2,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД,Победитель олимпиады из Перечня,22.06.2018,СУНЦ МГ,157,,,
272,60,82,48,76,0,1,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД,Не является  победителем олимпиады,23.06.2018,СОШ 6 ПЯТИГОРСК,266,,,
379,100,96,80,96,0,2,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Призер олимпиады из Перечня,27.06.2018,ЛИЦ 39 МАХАЧКАЛ,372,,,
356,100,88,82,85,0,1,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД,Призер олимпиады из Перечня,22.06.2018,ЛИЦ УХТИНСК ТЕХНИЧЕСК ЛИЦ,355,,,
366,100,80,80,98,2,1,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018 20:34:16,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,СОШ 1 БЕЛГОРОД,358,,,
339,80,82,86,89,0,2,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД,Не является  победителем олимпиады,28.06.2018,ЛИЦ ИГ ГОРОД ИРКУТСК,337,,,
375,100,78,100,89,0,3,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,09.07.2018,ГОРОД,Призер олимпиады из Перечня,23.06.2018,ГИМНАЗ 1 НЕФТЕКАМСК,367,,,
354,100,76,92,85,0,1,0,TRUE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,10.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,СОШ 1429 МОСКВ,353,,,
347,100,90,56,98,0,3,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,10.07.2018,ГОРОД,Призер олимпиады из Перечня,23.06.2016,ЛИЦ 1 НЕВИННОМЫССК,344,,,
340,70,80,90,91,2,2,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,10.07.2018 14:15:06,НАСЕЛЕННЫЙ ПУНКТ ГОРОДСКОГО ТИПА,Не является  победителем олимпиады,26.06.2018,ГИМНАЗ КАНЕВСК,331,,,
375,100,84,92,98,0,1,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,10.07.2018,ГОРОД,Призер олимпиады из Перечня,24.06.2018,ЛИЦ 3 ЧЕБОКСАР,374,,,
384,85,92,100,100,0,2,5,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,10.07.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,28.06.2018,ЛИЦ ТПУ ТОМСК,377,,,
352,85,88,88,89,0,2,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,10.07.2018 18:27:08,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,23.06.2018,СОШ 1474 МОСКВ,350,,,
357,85,98,90,82,0,2,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,10.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 89 КЕМЕРОВО,355,,,
343,75,88,80,96,2,2,0,TRUE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,11.07.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,25.06.2018,ЛИЦ 30 САНКТ-ПЕТЕРБУРГ,339,,,
338,55,94,86,96,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,20.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,28.06.2017,СОШ 44 ВЛАДИМИР,331,,,
319,75,84,90,70,0,0,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,20.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2013,ЛИЦ 1568 МОСКВ,319,,,
274,60,75,83,56,0,0,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,20.06.2018 17:53:46,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,06.06.2018,ЛИЦ ПР УНИВЕРСИТЕТ КРИТ РЕТИМНОН,274,,,
244,50,68,51,71,2,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,21.06.2018 13:44:59,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2017,ГИМНАЗ 1540 МОСКВ,240,,,
315,65,86,76,87,0,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,21.06.2018,ГОРОД,Не является  победителем олимпиады,23.06.2017,ЛИЦ 1537 МОСКВ,314,,,
366,100,88,92,86,0,0,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,22.06.2018 17:30:07,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Призер олимпиады из Перечня,27.06.2017,ЛИЦ 153 УФ,366,,,
319,70,78,83,88,0,0,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,22.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2017,СОШ 2090 МОСКВ,319,,,
310,60,88,70,91,0,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018 12:45:16,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2017,СОШ 192 МОСКВ,309,,,
351,90,90,98,69,2,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018 12:54:39,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 1195 МОСКВ,347,,,
332,70,82,83,90,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,Не является  победителем олимпиады,24.06.2015,ЛИЦ ТВЕРСК ЛИЦ ТВЕР,325,,,
336,75,86,85,88,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,Не является  победителем олимпиады,23.06.2017,ГИМНАЗ 1530 МОСКВ,334,,,
399,100,94,100,98,0,2,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018 16:43:42,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Призер олимпиады из Перечня,22.06.2018,СУНЦ МГ,392,,,
377,100,99,92,85,0,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,22.06.2018,СУНЦ МГ,376,,,
369,100,86,100,82,0,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018 16:55:26,ГОРОД,Призер олимпиады из Перечня,22.06.2018,СУНЦ МГ,368,,,
356,100,82,84,89,0,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,22.06.2018,СУНЦ МГ,355,,,
373,100,92,92,87,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018,ГОРОД,Призер олимпиады из Перечня,22.06.2018,СУНЦ МГ,371,,,
347,90,82,84,91,0,0,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018 17:46:43,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,22.06.2018,СУНЦ МГ,347,,,
376,100,82,100,89,2,3,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Победитель олимпиады из Перечня,22.06.2018,СУНЦ МГ,371,,,
393,100,100,100,89,2,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Победитель олимпиады из Перечня,22.06.2018,СУНЦ МГ,389,,,
382,100,88,96,96,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,22.06.2018,СУНЦ МГ,380,,,
278,40,80,78,78,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,22.06.2018,СУНЦ МГ,276,,,
378,100,86,94,91,0,2,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018 18:11:40,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,Призер олимпиады из Перечня,22.06.2018,СУНЦ МГ,371,,,
386,100,94,100,89,0,3,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018 18:26:07,ГОРОД,Призер олимпиады из Перечня,22.06.2018,СУНЦ МГ,383,,,
314,65,84,78,85,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,22.06.2018,СУНЦ МГ,312,,,
287,60,70,78,78,0,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018 18:32:29,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,22.06.2018,СУНЦ МГ,286,,,
326,60,82,86,96,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,22.06.2018,СУНЦ МГ,324,,,
356,80,88,88,96,2,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018 18:39:36,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,22.06.2018,СУНЦ МГ,352,,,
390,100,90,100,98,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018 18:40:39,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,22.06.2018,СУНЦ МГ,388,,,
320,100,80,61,76,0,3,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,22.06.2018,СУНЦ МГ,317,,,
376,100,80,100,94,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018 18:51:06,ГОРОД,Призер олимпиады из Перечня,22.06.2018,СУНЦ МГ,374,,,
326,50,74,100,98,2,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018 18:53:58,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Призер олимпиады из Перечня,22.06.2018,СУНЦ МГ,322,,,
355,85,94,88,87,0,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018,ГОРОД,Не является  победителем олимпиады,22.06.2018,СУНЦ МГ,354,,,
369,100,78,100,91,0,0,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018 19:05:55,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Призер олимпиады из Перечня,22.06.2018,СУНЦ МГ,369,,,
353,85,80,96,91,0,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,23.06.2018 19:23:14,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,Не является  победителем олимпиады,22.06.2018,СУНЦ МГ,352,,,
343,75,78,94,94,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,21.06.2018,СОШ 171 МОСКВ,341,,,
351,65,90,94,100,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 554 МОСКВ,349,,,
395,100,92,100,96,0,2,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,СОШ 1741 МОСКВ,388,,,
348,65,98,96,87,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,21.06.2018,СОШ 171 МОСКВ,346,,,
386,90,100,94,96,0,1,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1568 МОСКВ,380,,,
400,100,100,100,98,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Победитель олимпиады из Перечня,23.06.2018,ЛИЦ ВТОРАЯ ШКОЛА МОСКВ,398,,,
307,60,88,61,94,2,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1533 МОСКВ,303,,,
284,40,76,66,96,0,1,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 1392 МОСКВ,278,,,
336,80,77,92,82,0,0,5,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018 14:10:40,ГОРОД,Не является  победителем олимпиады,26.06.2014,СОШ 2 ВЯЗЬМ,331,,,
379,100,94,92,91,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018 14:25:19,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,ЛИЦ 1568 МОСКВ,377,,,
329,60,80,84,98,0,2,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 117 МОСКВ,322,,,
289,60,78,55,91,2,3,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 1371 МОСКВ,284,,,
297,40,82,82,87,0,1,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 2101 МОСКВ,291,,,
383,100,84,94,98,0,2,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018 14:47:36,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,ЛИЦ 1535 МОСКВ,376,,,
380,100,80,100,98,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018 15:01:32,ГОРОД,Призер олимпиады из Перечня,23.06.2018,ЛИЦ НАУЧНО ИНЖЕНЕРН ПРОФИЛ КОРОЛЕВ,378,,,
276,70,68,59,78,0,1,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ ПРОТОН МОСКВ,275,,,
355,100,78,86,91,0,0,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018 15:07:24,ГОРОД,Призер олимпиады из Перечня,22.06.2018,СУНЦ МГ,355,,,
329,65,84,74,98,0,3,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018 15:15:19,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1502 МОСКВ,321,,,
374,100,80,94,98,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018 15:23:55,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,ЛИЦ 1502 МОСКВ,372,,,
345,65,78,94,100,0,3,5,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 19 КОРОЛЕВ,337,,,
300,55,74,80,89,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,25.06.2018 15:32:25,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,СОШ 17 МОСКВ,298,,,
330,60,82,88,98,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,26.06.2018,ГОРОД,Не является  победителем олимпиады,23.06.2018,СОШ КУРЧАТОВСК МОСКВ,328,,,
372,100,84,92,94,0,2,0,FALSE,НЕ_НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,26.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Призер олимпиады из Перечня,23.06.2018,СОШ 179 МОСКВ,370,,,
331,60,92,88,89,0,2,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,26.06.2018,ГОРОД,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1580 МОСКВ,329,,,
371,80,96,96,98,0,1,0,FALSE,НУЖДАЕТСЯ_В_ОБЩЕЖИТИИ,26.06.2018,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,Не является  победителем олимпиады,23.06.2018,ЛИЦ 1580 МОСКВ,370,,,
